siparis_id,qr_masa_id,tarih_saat,gun,saat,ay,hafta_sonu,ozel_gun,yas_grubu,kisi_sayisi,hava_durumu,sicaklik_c,toplam_tutar,ikram_var,iptal_var,urun_sayisi,siparis_icerigi
ORD-01283,QR-M16,2026-01-01 14:36,Thursday,14,1,0,,18-24,1,Serin,5,25.0,0,0,1,1 Çay (Bardak)
ORD-00573,QR-M01,2026-01-01 14:52,Thursday,14,1,0,,25-34,6,Güneşli,17,450.0,0,0,6,"1 Fırın Sütlaç, 1 Tiramisu, 2 Çay (Bardak), 2 Türk Kahvesi"
ORD-01709,QR-M19,2026-01-01 15:04,Thursday,15,1,0,,18-24,5,Serin,5,1040.0,0,0,9,"1 Patates Kızartması, 2 Havuç Dilimi Baklava, 1 Künefe, 1 Profiterol, 1 Çay (Bardak), 3 Türk Kahvesi"
ORD-00213,QR-M18,2026-01-01 15:25,Thursday,15,1,0,,25-34,2,Güneşli,17,350.0,0,0,4,"1 Gavurdağı Salata, 1 Profiterol, 1 Çay (Bardak), 1 Türk Kahvesi"
ORD-00456,QR-M11,2026-01-01 15:51,Thursday,15,1,0,,18-24,2,Güneşli,17,540.0,0,0,6,"1 Lahmacun, 1 Künefe, 1 Fırın Sütlaç, 1 Ayran, 1 Çay (Bardak), 1 Türk Kahvesi"
ORD-01695,QR-M12,2026-01-01 16:30,Thursday,16,1,0,,18-24,1,Güneşli,17,160.0,0,0,1,1 Katmer
ORD-00922,QR-M15,2026-01-01 16:54,Thursday,16,1,0,,45-54,5,Güneşli,17,650.0,0,0,5,"2 Künefe, 1 Fırın Sütlaç, 1 Çay (Bardak), 1 Türk Kahvesi"
ORD-00003,QR-M14,2026-01-01 19:10,Thursday,19,1,0,,25-34,6,Güneşli,17,3275.0,0,0,22,"1 Adana Kebap, 3 Urfa Kebap, 2 Beyti Kebabı, 1 Kıymalı Pide, 2 Gavurdağı Salata, 5 Ezme, 2 Künefe, 1 Ayran, 5 Şalgam"
ORD-01789,QR-M12,2026-01-01 19:16,Thursday,19,1,0,,45-54,2,Bulutlu,10,875.0,0,0,5,"1 İskender Kebap, 1 Karışık Izgara, 1 Ezogelin Çorbası, 1 Şıra, 1 Çay (Bardak)"
ORD-00291,QR-M05,2026-01-01 19:42,Thursday,19,1,0,,25-34,4,Güneşli,17,1195.0,0,0,8,"2 Tavuk Şiş, 1 Beyti Kebabı, 1 Kaşarlı Pide, 1 Künefe, 1 Ayran, 2 Çay (Bardak)"
ORD-01786,QR-M16,2026-01-01 20:21,Thursday,20,1,0,,45-54,4,Güneşli,17,1905.0,0,0,15,"2 Adana Kebap, 1 İskender Kebap, 2 Tavuk Şiş, 1 Mercimek Çorbası, 3 Ezme, 3 Şalgam, 3 Çay (Bardak)"
ORD-01442,QR-M07,2026-01-01 20:36,Thursday,20,1,0,,35-44,3,Serin,5,1090.0,0,0,7,"1 Urfa Kebap, 1 Beyti Kebabı, 1 Lahmacun, 2 Ezme, 1 Künefe, 1 Ayran"
ORD-01595,QR-M02,2026-01-01 20:51,Thursday,20,1,0,,18-24,2,Bulutlu,10,845.0,0,0,5,"1 Adana Kebap, 1 Karışık Izgara, 1 Ezme, 1 Ayran, 1 Şalgam"
ORD-01195,QR-M20,2026-01-01 21:24,Thursday,21,1,0,,18-24,3,Güneşli,17,835.0,0,0,5,"1 Karışık Izgara, 1 Tavuk Şiş, 1 Kaşarlı Pide, 1 Ayran, 1 Şalgam"
ORD-00145,QR-M07,2026-01-01 22:27,Thursday,22,1,0,,55+,5,Soğuk/Karlı,0,1435.0,0,0,14,"1 Urfa Kebap, 1 Karışık Izgara, 1 Lahmacun, 2 Mercimek Çorbası, 3 Ezogelin Çorbası, 2 Ayran, 3 Şalgam, 1 Su (500ml)"
ORD-00506,QR-M05,2026-01-01 22:53,Thursday,22,1,0,,35-44,4,Serin,5,1660.0,0,0,12,"1 Adana Kebap, 2 Tavuk Şiş, 1 Kıymalı Pide, 1 Havuç Dilimi Baklava, 2 Künefe, 2 Ayran, 1 Şalgam, 2 Çay (Bardak)"
ORD-01970,QR-M09,2026-01-02 08:45,Friday,8,1,1,,35-44,4,Bulutlu,10,1040.0,0,0,8,"1 Ayran, 3 Çay (Bardak), 2 Kiremitte Menemen, 1 Sucuklu Yumurta, 1 Simit"
ORD-00309,QR-M04,2026-01-02 09:19,Friday,9,1,1,,25-34,4,Güneşli,17,1485.0,0,0,5,"1 Tavuk Şiş, 1 Çay (Bardak), 2 Serpme Kahvaltı (2 kişi), 1 Simit"
ORD-01985,QR-M12,2026-01-02 10:35,Friday,10,1,1,,35-44,3,Güneşli,17,475.0,0,0,4,"1 İçli Köfte, 1 Çay (Bardak), 1 Sucuklu Yumurta, 1 Simit"
ORD-00036,QR-M14,2026-01-02 11:15,Friday,11,1,1,,25-34,4,Yağmurlu,3,250.0,0,0,5,"1 Ezogelin Çorbası, 4 Simit"
ORD-01450,QR-M19,2026-01-02 11:38,Friday,11,1,1,,18-24,6,Güneşli,17,2950.0,0,0,22,"1 Lahmacun, 2 Hamburger Menü, 1 Çoban Salata, 1 Patates Kızartması, 1 Fırın Sütlaç, 3 Ayran, 5 Kola, 2 Çay (Bardak), 2 Serpme Kahvaltı (2 kişi), 1 Sucuklu Yumurta, 3 Simit"
ORD-01213,QR-M16,2026-01-02 12:28,Friday,12,1,1,,35-44,3,Bulutlu,10,2055.0,0,0,15,"2 Adana Kebap, 1 İskender Kebap, 1 Lahmacun, 1 Hamburger Menü, 2 Gavurdağı Salata, 1 Ezme, 1 Patates Kızartması, 1 Havuç Dilimi Baklava, 2 Ayran, 1 Şalgam, 1 Kola, 1 Şıra"
ORD-01015,QR-M12,2026-01-02 12:43,Friday,12,1,1,,35-44,3,Yağmurlu,3,835.0,0,1,9,"1 Lahmacun, 1 Kıymalı Pide, 1 Hamburger Menü, 1 Haydari, 1 Patates Kızartması, 2 Ayran, 2 Kola"
ORD-01754,QR-M01,2026-01-02 12:56,Friday,12,1,1,,55+,4,Soğuk/Karlı,0,1610.0,0,0,16,"1 İskender Kebap, 1 Tavuk Şiş, 1 Lahmacun, 2 Kaşarlı Pide, 1 Çiğ Köfte Dürüm, 1 Mercimek Çorbası, 1 Yayla Çorbası, 2 Çoban Salata, 2 Ayran, 2 Şıra, 2 Çay (Bardak)"
ORD-00866,QR-M05,2026-01-02 13:08,Friday,13,1,1,,35-44,1,Bulutlu,10,220.0,0,0,2,"1 Kıymalı Pide, 1 Ezme"
ORD-00679,QR-M07,2026-01-02 13:17,Friday,13,1,1,,45-54,4,Bulutlu,10,1430.0,0,0,15,"1 İskender Kebap, 1 Tavuk Şiş, 2 Lahmacun, 1 Çiğ Köfte Dürüm, 2 Çoban Salata, 1 Havuç Dilimi Baklava, 1 Ayran, 3 Şıra, 3 Çay (Bardak)"
ORD-00763,QR-M03,2026-01-02 13:57,Friday,13,1,1,,55+,4,Yağmurlu,3,455.0,0,0,7,"3 Lahmacun, 1 Çiğ Köfte Dürüm, 1 Mercimek Çorbası, 2 Ayran"
ORD-01605,QR-M17,2026-01-02 13:58,Friday,13,1,1,,25-34,1,Serin,5,80.0,0,0,1,1 Çiğ Köfte Dürüm
ORD-01108,QR-M13,2026-01-02 14:22,Friday,14,1,1,,18-24,2,Yağmurlu,3,355.0,0,0,4,"1 Çiğ Köfte Dürüm, 1 Ezogelin Çorbası, 1 Fırın Sütlaç, 1 Türk Kahvesi"
ORD-01667,QR-M12,2026-01-02 14:49,Friday,14,1,1,,25-34,5,Bulutlu,10,995.0,0,0,8,"1 Sigara Böreği, 1 Havuç Dilimi Baklava, 3 Tiramisu, 1 Katmer, 1 Çay (Bardak), 1 Türk Kahvesi"
ORD-01414,QR-M13,2026-01-02 14:56,Friday,14,1,1,,45-54,3,Bulutlu,10,740.0,0,0,6,"1 Haydari, 1 Havuç Dilimi Baklava, 1 Künefe, 1 Katmer, 1 Çay (Bardak), 1 Türk Kahvesi"
ORD-01345,QR-M10,2026-01-02 15:06,Friday,15,1,1,,25-34,3,Güneşli,17,500.0,0,0,4,"1 Sigara Böreği, 1 Künefe, 1 Profiterol, 1 Çay (Bardak)"
ORD-00176,QR-M14,2026-01-02 16:33,Friday,16,1,1,,18-24,4,Güneşli,17,835.0,0,0,7,"2 Künefe, 2 Katmer, 3 Çay (Bardak)"
ORD-00558,QR-M03,2026-01-02 18:17,Friday,18,1,1,,55+,2,Yağmurlu,3,155.0,0,0,2,"1 İçli Köfte, 1 Çay (Bardak)"
ORD-01926,QR-M13,2026-01-02 18:22,Friday,18,1,1,,25-34,4,Yağmurlu,3,560.0,0,0,8,"1 Lahmacun, 1 Mercimek Çorbası, 1 İçli Köfte, 1 Sigara Böreği, 1 Ayran, 2 Çay (Bardak), 1 Türk Kahvesi"
ORD-00535,QR-M05,2026-01-02 18:29,Friday,18,1,1,,25-34,4,Güneşli,17,620.0,0,0,5,"1 Kıymalı Pide, 2 İçli Köfte, 2 Sigara Böreği"
ORD-00479,QR-M17,2026-01-02 19:29,Friday,19,1,1,,35-44,2,Bulutlu,10,855.0,0,0,6,"1 İskender Kebap, 1 Tavuk Şiş, 1 Havuç Dilimi Baklava, 1 Şalgam, 1 Şıra, 1 Çay (Bardak)"
ORD-00742,QR-M09,2026-01-02 22:46,Friday,22,1,1,,25-34,2,Güneşli,17,580.0,0,0,6,"1 İskender Kebap, 2 Lahmacun, 1 Ayran, 1 Şıra, 1 Çay (Bardak)"
ORD-00346,QR-M04,2026-01-03 08:27,Saturday,8,1,1,,25-34,3,Bulutlu,10,1290.0,0,0,5,"2 Çay (Bardak), 2 Serpme Kahvaltı (2 kişi), 1 Simit"
ORD-00305,QR-M01,2026-01-03 11:40,Saturday,11,1,1,,55+,2,Serin,5,495.0,0,0,4,"1 Mercimek Çorbası, 1 Domates Çorbası, 1 Sucuklu Yumurta, 1 Simit"
ORD-01495,QR-M08,2026-01-03 12:24,Saturday,12,1,1,,25-34,2,Güneşli,17,570.0,0,0,3,"2 Tavuk Şiş, 1 İçli Köfte"
ORD-00759,QR-M10,2026-01-03 12:32,Saturday,12,1,1,,25-34,3,Serin,5,390.0,0,0,4,"1 Lahmacun, 2 Kaşarlı Pide, 1 Ayran"
ORD-01747,QR-M01,2026-01-03 13:04,Saturday,13,1,1,,35-44,2,Güneşli,17,770.0,0,0,5,"2 Hamburger Menü, 1 İçli Köfte, 1 Patates Kızartması, 1 Kola"
ORD-01194,QR-M08,2026-01-03 13:09,Saturday,13,1,1,,35-44,2,Serin,5,540.0,1,0,5,"1 Lahmacun, 1 Hamburger Menü, 1 Ezogelin Çorbası, 1 Çoban Salata, 1 Ayran"
ORD-01553,QR-M17,2026-01-03 13:24,Saturday,13,1,1,,25-34,5,Güneşli,17,1420.0,0,0,13,"1 İskender Kebap, 2 Tavuk Şiş, 1 Lahmacun, 2 Kıymalı Pide, 1 Çiğ Köfte Dürüm, 4 Ayran, 1 Şalgam, 1 Çay (Bardak)"
ORD-00198,QR-M18,2026-01-03 13:35,Saturday,13,1,1,,18-24,4,Güneşli,17,1665.0,0,0,15,"2 İskender Kebap, 1 Lahmacun, 1 Kıymalı Pide, 1 Kaşarlı Pide, 3 Çoban Salata, 2 Ayran, 2 Kola, 3 Şıra"
ORD-01745,QR-M12,2026-01-03 13:35,Saturday,13,1,1,,35-44,5,Serin,5,920.0,0,0,12,"1 İskender Kebap, 3 Lahmacun, 1 Kaşarlı Pide, 1 Ayran, 2 Şıra, 4 Çay (Bardak)"
ORD-00266,QR-M10,2026-01-03 13:40,Saturday,13,1,1,,18-24,3,Soğuk/Karlı,0,515.0,0,0,5,"1 Tavuk Şiş, 1 Lahmacun, 1 Kaşarlı Pide, 2 Ayran"
ORD-01350,QR-M18,2026-01-03 13:48,Saturday,13,1,1,,35-44,5,Soğuk/Karlı,0,2040.0,0,0,23,"1 Lahmacun, 1 Kıymalı Pide, 1 Kaşarlı Pide, 1 Hamburger Menü, 1 Çiğ Köfte Dürüm, 1 Domates Çorbası, 1 Çoban Salata, 2 Haydari, 2 Sigara Böreği, 3 Patates Kızartması, 1 Havuç Dilimi Baklava, 2 Ayran, 2 Kola, 4 Çay (Bardak)"
ORD-01131,QR-M19,2026-01-03 14:42,Saturday,14,1,1,,55+,2,Soğuk/Karlı,0,330.0,0,0,4,"1 Mercimek Çorbası, 1 Tiramisu, 1 Çay (Bardak), 1 Türk Kahvesi"
ORD-01600,QR-M10,2026-01-03 17:24,Saturday,17,1,1,,25-34,2,Serin,5,215.0,0,0,3,"1 Domates Çorbası, 2 Türk Kahvesi"
ORD-00402,QR-M12,2026-01-03 18:45,Saturday,18,1,1,,18-24,4,Yağmurlu,3,1275.0,0,0,14,"1 Lahmacun, 2 Kıymalı Pide, 1 Hamburger Menü, 1 İçli Köfte, 2 Patates Kızartması, 3 Ayran, 3 Kola, 1 Türk Kahvesi"
ORD-01678,QR-M11,2026-01-03 18:55,Saturday,18,1,1,,45-54,2,Serin,5,360.0,0,0,3,"1 Sigara Böreği, 1 Künefe, 1 Çay (Bardak)"
ORD-00810,QR-M08,2026-01-03 19:23,Saturday,19,1,1,,25-34,2,Bulutlu,10,680.0,0,0,3,"1 İskender Kebap, 1 Beyti Kebabı, 1 Şıra"
ORD-01354,QR-M19,2026-01-03 19:26,Saturday,19,1,1,,35-44,2,Güneşli,17,1440.0,0,0,6,"1 Adana Kebap, 2 Karışık Izgara, 1 İçli Köfte, 1 Künefe, 1 Şalgam"
ORD-01582,QR-M09,2026-01-03 19:40,Saturday,19,1,1,,25-34,4,Güneşli,17,1255.0,0,0,10,"2 Adana Kebap, 1 Kıymalı Pide, 2 Kaşarlı Pide, 1 Gavurdağı Salata, 2 Ayran, 1 Şalgam, 1 Çay (Bardak)"
ORD-00754,QR-M05,2026-01-03 19:48,Saturday,19,1,1,,25-34,4,Serin,5,1610.0,0,0,10,"1 Adana Kebap, 1 İskender Kebap, 1 Karışık Izgara, 1 Tavuk Şiş, 1 Kıymalı Pide, 2 Ezme, 1 Şalgam, 2 Çay (Bardak)"
ORD-01115,QR-M20,2026-01-03 20:31,Saturday,20,1,1,,35-44,2,Güneşli,17,1095.0,0,0,6,"1 Adana Kebap, 1 Karışık Izgara, 1 Gavurdağı Salata, 1 Künefe, 1 Ayran, 1 Şalgam"
ORD-00484,QR-M13,2026-01-03 20:52,Saturday,20,1,1,,35-44,2,Güneşli,17,555.0,0,0,4,"1 Tavuk Şiş, 1 Kıymalı Pide, 1 Havuç Dilimi Baklava, 1 Çay (Bardak)"
ORD-00411,QR-M07,2026-01-04 10:28,Sunday,10,1,1,,35-44,3,Soğuk/Karlı,0,1935.0,0,1,10,"1 Karışık Izgara, 1 Ezogelin Çorbası, 1 Sigara Böreği, 2 Şalgam, 2 Çay (Bardak), 1 Serpme Kahvaltı (2 kişi), 2 Kiremitte Menemen"
ORD-00855,QR-M19,2026-01-04 11:36,Sunday,11,1,1,,45-54,3,Güneşli,17,1195.0,0,0,6,"1 Havuç Dilimi Baklava, 1 Şalgam, 1 Çay (Bardak), 1 Serpme Kahvaltı (2 kişi), 1 Kiremitte Menemen, 1 Simit"
ORD-00802,QR-M19,2026-01-04 11:47,Sunday,11,1,1,,18-24,3,Serin,5,925.0,0,0,7,"1 Lahmacun, 1 Mercimek Çorbası, 1 Ayran, 1 Kola, 1 Çay (Bardak), 1 Serpme Kahvaltı (2 kişi), 1 Simit"
ORD-01730,QR-M05,2026-01-04 12:02,Sunday,12,1,1,,18-24,4,Soğuk/Karlı,0,1970.0,0,0,16,"2 İskender Kebap, 1 Tavuk Şiş, 1 Kaşarlı Pide, 1 Hamburger Menü, 1 Yayla Çorbası, 3 Patates Kızartması, 1 Ayran, 1 Kola, 3 Şıra, 2 Çay (Bardak)"
ORD-01941,QR-M04,2026-01-04 12:35,Sunday,12,1,1,,25-34,3,Serin,5,490.0,0,0,7,"2 Lahmacun, 1 Çiğ Köfte Dürüm, 1 Ezogelin Çorbası, 1 Çoban Salata, 2 Ayran"
ORD-01461,QR-M13,2026-01-04 12:49,Sunday,12,1,1,,35-44,3,Soğuk/Karlı,0,725.0,0,0,7,"1 Lahmacun, 1 Kaşarlı Pide, 1 Hamburger Menü, 1 Ezogelin Çorbası, 1 Domates Çorbası, 1 Ayran, 1 Kola"
ORD-00134,QR-M03,2026-01-04 12:58,Sunday,12,1,1,,18-24,2,Soğuk/Karlı,0,940.0,0,0,8,"1 Kaşarlı Pide, 1 Hamburger Menü, 1 Çiğ Köfte Dürüm, 1 Yayla Çorbası, 1 Patates Kızartması, 1 Havuç Dilimi Baklava, 1 Ayran, 1 Kola"
ORD-00538,QR-M05,2026-01-04 13:48,Sunday,13,1,1,,35-44,2,Bulutlu,10,805.0,0,0,6,"1 İskender Kebap, 1 Hamburger Menü, 1 Patates Kızartması, 1 Kola, 1 Şıra, 1 Çay (Bardak)"
ORD-00243,QR-M11,2026-01-04 13:58,Sunday,13,1,1,,45-54,5,Bulutlu,10,1505.0,0,0,14,"2 İskender Kebap, 1 Lahmacun, 1 Kaşarlı Pide, 1 Çiğ Köfte Dürüm, 1 Ezme, 1 İçli Köfte, 4 Ayran, 3 Şıra"
ORD-01857,QR-M18,2026-01-04 14:49,Sunday,14,1,1,,35-44,6,Serin,5,705.0,0,0,8,"1 Havuç Dilimi Baklava, 1 Profiterol, 1 Katmer, 1 Ayran, 2 Çay (Bardak), 2 Türk Kahvesi"
ORD-00512,QR-M19,2026-01-04 15:05,Sunday,15,1,1,,25-34,2,Serin,5,320.0,0,0,4,"1 Ezogelin Çorbası, 1 Havuç Dilimi Baklava, 2 Çay (Bardak)"
ORD-01959,QR-M01,2026-01-04 15:23,Sunday,15,1,1,,18-24,4,Bulutlu,10,1270.0,0,0,12,"1 Hamburger Menü, 1 Çiğ Köfte Dürüm, 1 İçli Köfte, 1 Patates Kızartması, 1 Profiterol, 2 Tiramisu, 1 Kola, 1 Çay (Bardak), 3 Türk Kahvesi"
ORD-01428,QR-M17,2026-01-04 15:38,Sunday,15,1,1,,18-24,3,Serin,5,495.0,0,0,5,"2 Havuç Dilimi Baklava, 1 Ayran, 1 Çay (Bardak), 1 Türk Kahvesi"
ORD-00617,QR-M12,2026-01-04 15:39,Sunday,15,1,1,,25-34,4,Bulutlu,10,895.0,0,0,8,"1 Kıymalı Pide, 1 Gavurdağı Salata, 1 Künefe, 1 Profiterol, 1 Tiramisu, 1 Ayran, 1 Çay (Bardak), 1 Türk Kahvesi"
ORD-01567,QR-M07,2026-01-04 16:56,Sunday,16,1,1,,25-34,1,Soğuk/Karlı,0,335.0,0,0,3,"1 Gavurdağı Salata, 1 Tiramisu, 1 Türk Kahvesi"
ORD-00293,QR-M11,2026-01-04 18:25,Sunday,18,1,1,,35-44,3,Bulutlu,10,795.0,0,0,6,"1 Karışık Izgara, 2 Kıymalı Pide, 2 Ayran, 1 Türk Kahvesi"
ORD-00981,QR-M04,2026-01-04 19:22,Sunday,19,1,1,,18-24,4,Güneşli,17,1070.0,0,0,7,"2 Beyti Kebabı, 1 Kıymalı Pide, 1 Kaşarlı Pide, 1 Çiğ Köfte Dürüm, 2 Kola"
ORD-00642,QR-M07,2026-01-04 19:47,Sunday,19,1,1,,25-34,3,Bulutlu,10,1210.0,0,0,7,"1 Urfa Kebap, 1 Tavuk Şiş, 1 Kıymalı Pide, 1 Ezme, 2 Künefe, 1 Şalgam"
ORD-02000,QR-M02,2026-01-04 19:54,Sunday,19,1,1,,25-34,2,Bulutlu,10,490.0,0,0,3,"1 Karışık Izgara, 1 Lahmacun, 1 Ayran"
ORD-00623,QR-M10,2026-01-04 20:03,Sunday,20,1,1,,45-54,4,Yağmurlu,3,1745.0,0,0,11,"1 Adana Kebap, 2 İskender Kebap, 1 Beyti Kebabı, 1 Lahmacun, 1 Kıymalı Pide, 1 Mercimek Çorbası, 1 Ezogelin Çorbası, 2 Ayran, 1 Şıra"
ORD-00641,QR-M05,2026-01-04 21:02,Sunday,21,1,1,,25-34,2,Soğuk/Karlı,0,675.0,0,0,6,"1 İskender Kebap, 1 Lahmacun, 1 Ezogelin Çorbası, 1 Sigara Böreği, 1 Şıra, 1 Çay (Bardak)"
ORD-01145,QR-M05,2026-01-04 21:26,Sunday,21,1,1,,35-44,1,Bulutlu,10,415.0,0,0,3,"1 Adana Kebap, 1 Haydari, 1 Ayran"
ORD-00877,QR-M09,2026-01-05 08:41,Monday,8,1,0,,35-44,6,Bulutlu,10,1985.0,0,0,19,"1 Adana Kebap, 5 Lahmacun, 1 Mercimek Çorbası, 1 Ezogelin Çorbası, 1 Ezme, 1 Havuç Dilimi Baklava, 1 Ayran, 2 Şalgam, 1 Çay (Bardak), 1 Serpme Kahvaltı (2 kişi), 4 Simit"
ORD-01215,QR-M02,2026-01-05 09:12,Monday,9,1,0,,18-24,5,Bulutlu,10,1475.0,0,0,14,"2 Lahmacun, 2 Çoban Salata, 1 Ayran, 4 Çay (Bardak), 1 Serpme Kahvaltı (2 kişi), 1 Sucuklu Yumurta, 3 Simit"
ORD-00684,QR-M08,2026-01-05 10:06,Monday,10,1,0,,18-24,1,Güneşli,17,40.0,0,0,1,1 Simit
ORD-01207,QR-M05,2026-01-05 10:54,Monday,10,1,0,,18-24,2,Serin,5,140.0,0,0,3,"1 Ezogelin Çorbası, 2 Çay (Bardak)"
ORD-01275,QR-M03,2026-01-05 12:40,Monday,12,1,0,,18-24,2,Güneşli,17,745.0,0,0,5,"1 Tavuk Şiş, 1 Hamburger Menü, 1 Patates Kızartması, 1 Fırın Sütlaç, 1 Türk Kahvesi"
ORD-00432,QR-M20,2026-01-05 12:46,Monday,12,1,0,,55+,5,Bulutlu,10,1865.0,0,0,18,"1 İskender Kebap, 2 Lahmacun, 1 Kıymalı Pide, 2 Kaşarlı Pide, 1 Hamburger Menü, 1 Mercimek Çorbası, 2 Çoban Salata, 1 Patates Kızartması, 3 Ayran, 2 Kola, 2 Şıra"
ORD-01479,QR-M04,2026-01-05 13:06,Monday,13,1,0,,55+,2,Güneşli,17,430.0,0,0,4,"1 Tavuk Şiş, 1 Lahmacun, 1 Çoban Salata, 1 Ayran"
ORD-01198,QR-M03,2026-01-05 13:41,Monday,13,1,0,,25-34,4,Serin,5,1435.0,0,0,10,"1 Adana Kebap, 1 İskender Kebap, 1 Kıymalı Pide, 2 Kaşarlı Pide, 2 Gavurdağı Salata, 1 Ezme, 1 Ayran, 1 Şalgam"
ORD-01114,QR-M07,2026-01-05 13:44,Monday,13,1,0,,35-44,2,Serin,5,365.0,0,0,4,"1 Lahmacun, 1 Kaşarlı Pide, 1 Sigara Böreği, 1 Ayran"
ORD-00778,QR-M19,2026-01-05 14:00,Monday,14,1,0,,25-34,6,Soğuk/Karlı,0,850.0,0,0,8,"1 Tavuk Şiş, 1 Ezogelin Çorbası, 1 Havuç Dilimi Baklava, 1 Künefe, 3 Çay (Bardak), 1 Türk Kahvesi"
ORD-01538,QR-M11,2026-01-05 14:13,Monday,14,1,0,,25-34,4,Güneşli,17,1310.0,0,0,12,"1 Adana Kebap, 1 Gavurdağı Salata, 2 Ezme, 1 Künefe, 2 Tiramisu, 1 Ayran, 1 Şalgam, 2 Çay (Bardak), 1 Türk Kahvesi"
ORD-00284,QR-M17,2026-01-05 14:45,Monday,14,1,0,,18-24,1,Bulutlu,10,160.0,0,0,1,1 Katmer
ORD-01669,QR-M12,2026-01-05 14:56,Monday,14,1,0,,25-34,5,Yağmurlu,3,735.0,1,0,7,"1 Havuç Dilimi Baklava, 1 Fırın Sütlaç, 2 Katmer, 2 Çay (Bardak), 1 Türk Kahvesi"
ORD-00530,QR-M03,2026-01-05 15:15,Monday,15,1,0,,25-34,5,Güneşli,17,1035.0,1,0,12,"1 Lahmacun, 3 Çoban Salata, 1 Künefe, 1 Profiterol, 2 Ayran, 1 Çay (Bardak), 3 Türk Kahvesi"
